iter	Passed	Remaining
530	204943	181014
531	205313	180614
532	205669	180201
533	206050	179811
534	206420	179412
535	206792	179014
536	207152	178606
537	207711	178369
538	208096	177982
539	208578	177678
540	209035	177351
541	209441	176981
542	209846	176611
543	210269	176254
544	210623	175841
545	211001	175448
546	211369	175046
547	211732	174640
548	212095	174234
549	212467	173836
550	212832	173432
551	213219	173047
552	213604	172660
553	214135	172390
554	214685	172135
555	215048	171729
556	215470	171370
557	215836	170967
558	216227	170583
559	216616	170198
560	217025	169828
561	217418	169447
562	217787	169046
563	218205	168683
564	218558	168270
565	218929	167872
566	219278	167456
567	219637	167048
568	219992	166637
569	220359	166236
570	220718	165828
571	221083	165426
572	221456	165029
573	221827	164631
574	222190	164227
575	222548	163820
576	223080	163541
577	223497	163176
578	223896	162798
579	224478	162553
580	224843	162150
581	225237	161768
582	225633	161387
583	226052	161023
584	226446	160641
585	226853	160268
586	227265	159898
587	227640	159503
588	228151	159202
589	228548	158822
590	228952	158446
591	229489	158161
592	229860	157762
593	230261	157384
594	230636	156987
595	230998	156583
596	231428	156223
597	231811	155832
598	232169	155425
599	232582	155055
600	232940	154647
601	233309	154247
602	233680	153849
603	234054	153452
604	234429	153057
605	234796	152656
606	235153	152249
607	235530	151855
608	236070	151565
609	236436	151164
610	236960	150863
611	237315	150455
612	237677	150050
613	238044	149649
614	238406	149246
615	238763	148839
616	239178	148468
617	239557	148076
618	239958	147696
619	240336	147302
620	240817	146972
621	241202	146582
622	241582	146190
623	241938	145783
624	242293	145376
625	242669	144981
626	243029	144577
627	243459	144215
628	243819	143810
629	244192	143414
630	244573	143023
631	244934	142619
632	245324	142234
633	245691	141834
634	246096	141456
635	246606	141139
636	246989	140749
637	247339	140340
638	247816	140002
639	248191	139607
640	248550	139203
641	248915	138803
642	249286	138406
643	249650	138005
644	250018	137606
645	250397	137214
646	250759	136812
647	251126	136414
648	251487	136012
649	251847	135610
650	252208	135208
651	252583	134814
652	252972	134427
653	253352	134036
654	253723	133640
655	254224	133313
656	254573	132905
657	254952	132513
658	255367	132139
659	255730	131740
660	256109	131348
661	256633	131030
662	257031	130647
663	257419	130260
664	257785	129861
665	258319	129547
666	258697	129154
667	259076	128762
668	259462	128373
669	259828	127975
670	260193	127576
671	260566	127181
672	260990	126811
673	261362	126415
674	261730	126018
675	262100	125622
676	262462	125222
677	262821	124820
678	263191	124425
679	263557	124027
680	264035	123681
681	264449	123306
682	264859	122928
683	265209	122523
684	265643	122157
685	266037	121772
686	266448	121395
687	266808	120994
688	267161	120591
689	267540	120199
690	267922	119809
691	268295	119414
692	268750	119056
693	269132	118666
694	269526	118281
695	269891	117883
696	270252	117484
697	270600	117079
698	270966	116682
699	271328	116283
700	271916	115981
701	272287	115586
702	272647	115186
703	273022	114793
704	273394	114399
705	273755	114000
706	274120	113603
707	274495	113210
708	274913	112834
709	275290	112442
710	275670	112051
711	276045	111658
712	276425	111267
713	276785	110869
714	277150	110472
715	277562	110094
716	277926	109697
717	278296	109303
718	278661	108906
719	279058	108522
720	279620	108202
721	280006	107814
722	280361	107413
723	280711	107011
724	281083	106617
725	281468	106229
726	281873	105848
727	282234	105450
728	282600	105054
729	283140	104723
730	283530	104336
731	283906	103943
732	284269	103546
733	284666	103162
734	285021	102762
735	285370	102361
736	285742	101967
737	286109	101572
738	286518	101192
739	286948	100819
740	287344	100434
741	287730	100046
742	288154	99671
743	288519	99275
744	288882	98879
745	289235	98479
746	289630	98094
747	290028	97709
748	290405	97318
749	290802	96934
750	291320	96589
751	291707	96201
752	292090	95811
753	292483	95425
754	292863	95035
755	293270	94653
756	293662	94266
757	294054	93880
758	294612	93546
759	294989	93154
760	295365	92762
761	295728	92366
762	296097	91972
763	296460	91576
764	296818	91179
765	297241	90802
766	297593	90403
767	297952	90006
768	298334	89616
769	298690	89219
770	299045	88821
771	299452	88439
772	299846	88053
773	300249	87669
774	300737	87310
775	301163	86933
776	301524	86537
777	301908	86148
778	302281	85756
779	302629	85356
780	302984	84959
781	303412	84583
782	303785	84190
783	304303	83838
784	304681	83447
785	305076	83061
786	305423	82662
787	305777	82264
788	306122	81865
789	306531	81483
790	306884	81085
791	307241	80689
792	307589	80291
793	307954	79897
794	308331	79506
795	308696	79113
796	309069	78721
797	309597	78369
798	309954	77973
799	310332	77583
800	310710	77192
801	311064	76796
802	311417	76400
803	311769	76003
804	312140	75611
805	312595	75240
806	312992	74854
807	313370	74464
808	313745	74073
809	314123	73683
810	314485	73289
811	314891	72906
812	315247	72510
813	315624	72120
814	315989	71727
815	316343	71332
816	316695	70936
817	317051	70542
818	317460	70159
819	317823	69766
820	318221	69380
821	318578	68986
822	318941	68593
823	319296	68199
824	319648	67804
825	320005	67410
826	320410	67026
827	320813	66642
828	321184	66251
829	321610	65871
830	322039	65492
831	322403	65100
832	322815	64718
833	323214	64332
834	323571	63939
835	323953	63550
836	324351	63165
837	324724	62774
838	325081	62381
839	325480	61996
840	325844	61604
841	326207	61212
842	326553	60817
843	326949	60431
844	327336	60044
845	327690	59650
846	328063	59260
847	328445	58872
848	328966	58508
849	329340	58118
850	329703	57727
851	330057	57333
852	330439	56945
853	330799	56553
854	331145	56159
855	331512	55768
856	331926	55385
857	332303	54996
858	332667	54605
859	333033	54214
860	333445	53831
861	333823	53442
862	334216	53056
863	334769	52695
864	335144	52305
865	335528	51917
866	335907	51529
867	336288	51140
868	336649	50749
869	337005	50357
870	337373	49966
871	337731	49575
872	338095	49184
873	338449	48792
874	338802	48400
875	339189	48013
876	339671	47639
877	340054	47251
878	340445	46864
879	340817	46475
880	341169	46083
881	341533	45692
882	341920	45305
883	342304	44917
884	342730	44535
885	343133	44150
886	343500	43760
887	343864	43370
888	344367	42997
889	344975	42637
890	345482	42264
891	346007	41893
892	346599	41529
893	347158	41161
894	348068	40834
895	348525	40453
896	348906	40063
897	349286	39673
898	349676	39285
899	350046	38894
900	350407	38502
901	350763	38109
902	351161	37721
903	351525	37330
904	351885	36938
905	352241	36546
906	352606	36154
907	352959	35762
908	353318	35370
909	353677	34979
910	354038	34587
911	354405	34196
912	354759	33805
913	355121	33414
914	355488	33023
915	355852	32632
916	356214	32241
917	356567	31850
918	356937	31460
919	357291	31068
920	357783	30689
921	358241	30306
922	358730	29926
923	359217	29546
924	359611	29157
925	359997	28768
926	360376	28379
927	360730	27987
928	361168	27602
929	361568	27214
930	361994	26828
931	362366	26438
932	362727	26047
933	363082	25656
934	363454	25266
935	363815	24876
936	364172	24485
937	364537	24095
938	364922	23706
939	365279	23315
940	365645	22925
941	366016	22536
942	366376	22145
943	366733	21755
944	367102	21365
945	367467	20975
946	367839	20586
947	368202	20196
948	368572	19807
949	368937	19417
950	369314	19028
951	369678	18639
952	370057	18250
953	370427	17861
954	370789	17471
955	371166	17082
956	371522	16693
957	371892	16304
958	372254	15914
959	372629	15526
960	372990	15136
961	373349	14747
962	373712	14358
963	374083	13969
964	374456	13581
965	374822	13192
966	375186	12803
967	375544	12414
