iter	Passed	Remaining
136	19482	122728
137	19596	122407
138	19734	122237
139	19854	121961
140	19981	121729
141	20102	121465
142	20230	121239
143	20347	120951
144	20472	120717
145	20590	120441
146	20708	120164
147	20826	119895
148	20942	119612
149	21063	119358
150	21181	119092
151	21302	118845
152	21422	118593
153	21542	118342
154	21663	118102
155	21781	117843
156	21898	117583
157	22020	117347
158	22141	117111
159	22259	116860
160	22378	116615
161	22498	116381
162	22620	116156
163	22740	115921
164	22858	115676
165	22978	115447
166	23101	115231
167	23222	115008
168	23339	114761
169	23463	114554
170	23581	114324
171	23703	114109
172	23823	113886
173	23944	113666
174	24061	113432
175	24182	113216
176	24302	113000
177	24422	112783
178	24540	112555
179	24655	112321
180	24770	112084
181	24891	111875
182	25029	111743
183	25149	111533
184	25282	111377
185	25415	111226
186	25539	111034
187	25687	110946
188	25821	110800
189	25975	110737
190	26099	110545
191	26220	110344
192	26341	110143
193	26461	109937
194	26577	109716
195	26697	109514
196	26814	109299
197	26941	109127
198	27063	108933
199	27182	108729
200	27457	109148
201	27667	109299
202	27811	109191
203	27989	109213
204	28131	109094
205	28288	109033
206	28424	108891
207	28553	108723
208	28693	108594
209	28932	108839
210	29103	108826
211	29238	108678
212	29394	108609
213	29539	108494
214	29663	108304
215	29822	108243
216	29952	108076
217	30089	107937
218	30231	107810
219	30363	107654
220	30490	107475
221	30621	107311
222	30774	107227
223	30911	107085
224	31037	106905
225	31169	106748
226	31304	106600
227	31441	106460
228	31577	106314
229	31704	106140
230	31834	105975
231	31956	105786
232	32085	105622
233	32224	105488
234	32365	105360
235	32610	105569
236	32748	105430
237	32875	105257
238	33002	105084
239	33131	104916
240	33260	104750
241	33393	104595
242	33522	104428
243	33657	104284
244	33785	104115
245	33919	103964
246	34044	103786
247	34168	103608
248	34290	103423
249	34417	103253
250	34538	103063
251	34684	102953
252	34816	102797
253	34946	102638
254	35075	102474
255	35207	102320
256	35340	102172
257	35460	101984
258	35610	101880
259	35740	101723
260	35869	101562
261	36007	101426
262	36146	101291
263	36304	101212
264	36439	101067
265	36570	100912
266	36746	100879
267	36888	100756
268	37025	100616
269	37165	100483
270	37318	100387
271	37441	100211
272	37752	100536
273	37926	100492
274	38060	100341
275	38224	100269
276	38355	100111
277	38478	99934
278	38614	99788
279	38734	99602
280	38864	99443
281	38981	99250
282	39106	99079
283	39225	98893
284	39370	98771
285	39503	98621
286	39625	98443
287	39745	98259
288	39868	98085
289	39995	97920
290	40120	97750
291	40250	97594
292	40375	97425
293	40498	97251
294	40661	97174
295	40782	96996
296	40907	96827
297	41038	96674
298	41158	96496
299	41293	96351
300	41411	96168
301	41533	95995
302	41655	95821
303	41776	95645
304	41895	95465
305	42008	95273
306	42131	95103
307	42252	94930
308	42368	94746
309	42489	94573
310	42611	94403
311	42915	94634
312	43033	94454
313	43171	94316
314	43304	94169
315	43442	94033
316	43581	93899
317	43711	93746
318	43839	93587
319	43962	93419
320	44098	93281
321	44222	93113
322	44344	92944
323	44499	92844
324	44647	92730
325	44765	92552
326	44880	92368
327	45002	92201
328	45121	92026
329	45246	91864
330	45362	91684
331	45481	91510
332	45601	91339
333	45734	91195
334	45855	91025
335	45974	90854
336	46092	90680
337	46217	90520
338	46342	90361
339	46466	90199
340	46588	90035
341	46715	89878
342	46861	89761
343	46997	89623
344	47128	89475
345	47254	89319
346	47390	89181
347	47524	89040
348	47657	88896
349	47784	88743
350	47916	88597
351	48038	88433
352	48159	88270
353	48288	88119
354	48404	87945
355	48521	87775
356	48644	87615
357	48766	87452
358	48887	87289
359	49010	87128
360	49131	86967
361	49268	86833
362	49394	86679
363	49515	86515
364	49647	86372
365	49775	86223
366	49894	86057
367	50025	85913
368	50155	85768
369	50280	85612
370	50407	85462
371	50527	85298
372	50657	85153
373	50784	85003
374	50947	84911
375	51100	84804
376	51252	84695
377	51389	84562
378	51516	84411
379	51692	84340
380	51991	84469
381	52141	84354
382	52264	84195
383	52395	84050
384	52531	83914
385	52657	83760
386	52774	83593
387	52896	83434
388	53015	83271
389	53137	83111
390	53255	82948
391	53372	82782
392	53498	82630
393	53626	82481
394	53746	82321
395	53867	82161
396	53986	82000
397	54119	81859
398	54248	81712
